Date,Profession,Rank,Equipment,Insalubrity,Size_Production,Salary
01-01-2009,Metal heater,7,Heating furnaces,22,580,26020
01-01-2009,Metal heater,6,Heating furnaces,22,580,22980
01-01-2009,Metal heater,5,Heating furnaces,22,580,20350
01-01-2009,Metal heater,5,Heating furnaces,22,580,20350
01-01-2009,Metal heater,4,Heating furnaces,22,580,18090
01-01-2009,Metal planter,4,Heating furnaces,22,580,18090
01-01-2009,Refractory,4,Heating furnaces,11,580,16110
01-01-2009,Roller,7,Piercing mill,18,580,25300
01-01-2009,Roller,6,Piercing mill,18,580,22260
01-01-2009,Roller assistant,4,Piercing mill,18,580,17370
01-01-2009,Roller,7,Pilgrim mill,18,580,25300
01-01-2009,Roller,6,Pilgrim mill,18,580,22260
01-01-2009,Roller assistant,4,Pilgrim mill,18,580,17370
01-01-2009,Roller assistant,3,Pilgrim mill,18,580,15420
01-01-2009,Hot metal cutter,4,Pilgrim mill,16,580,17010
01-01-2009,Cleaner,3,Pilgrim mill,18,580,15420
01-01-2009,Roller,5,Sizing mill,18,580,19630
01-01-2009,Operator,5,Sizing mill,8,580,17830
01-01-2009,Operator,5,Sizing mill,8,580,17830
01-01-2009,Operator,4,Sizing mill,8,580,15570
01-02-2009,Metal heater,7,Heating furnaces,22,790,26020
01-02-2009,Metal heater,6,Heating furnaces,22,790,22980
01-02-2009,Metal heater,5,Heating furnaces,22,790,20350
01-02-2009,Metal heater,5,Heating furnaces,22,790,20350
01-02-2009,Metal heater,4,Heating furnaces,22,790,18090
01-02-2009,Metal planter,4,Heating furnaces,22,790,18090
01-02-2009,Refractory,4,Heating furnaces,11,790,16110
01-02-2009,Roller,7,Piercing mill,18,790,25300
01-02-2009,Roller,6,Piercing mill,18,790,22260
01-02-2009,Roller assistant,4,Piercing mill,18,790,17370
01-02-2009,Roller,7,Pilgrim mill,18,790,25300
01-02-2009,Roller,6,Pilgrim mill,18,790,22260
01-02-2009,Roller assistant,4,Pilgrim mill,18,790,17370
01-02-2009,Roller assistant,3,Pilgrim mill,18,790,15420
01-02-2009,Hot metal cutter,4,Pilgrim mill,16,790,17010
01-02-2009,Cleaner,3,Pilgrim mill,18,790,15420
01-02-2009,Roller,5,Sizing mill,18,790,19630
01-02-2009,Operator,5,Sizing mill,8,790,17830
01-02-2009,Operator,5,Sizing mill,8,790,17830
01-02-2009,Operator,4,Sizing mill,8,790,15570
01-03-2009,Metal heater,7,Heating furnaces,22,820,26020
01-03-2009,Metal heater,6,Heating furnaces,22,820,22980
01-03-2009,Metal heater,5,Heating furnaces,22,820,20350
01-03-2009,Metal heater,5,Heating furnaces,22,820,20350
01-03-2009,Metal heater,4,Heating furnaces,22,820,18090
01-03-2009,Metal planter,4,Heating furnaces,22,820,18090
01-03-2009,Refractory,4,Heating furnaces,11,820,16110
01-03-2009,Roller,7,Piercing mill,18,820,25300
01-03-2009,Roller,6,Piercing mill,18,820,22260
01-03-2009,Roller assistant,4,Piercing mill,18,820,17370
01-03-2009,Roller,7,Pilgrim mill,18,820,25300
01-03-2009,Roller,6,Pilgrim mill,18,820,22260
01-03-2009,Roller assistant,4,Pilgrim mill,18,820,17370
01-03-2009,Roller assistant,3,Pilgrim mill,18,820,15420
01-03-2009,Hot metal cutter,4,Pilgrim mill,16,820,17010
01-03-2009,Cleaner,3,Pilgrim mill,18,820,15420
01-03-2009,Roller,5,Sizing mill,18,820,19630
01-03-2009,Operator,5,Sizing mill,8,820,17830
01-03-2009,Operator,5,Sizing mill,8,820,17830
01-03-2009,Operator,4,Sizing mill,8,820,15570
01-04-2009,Metal heater,7,Heating furnaces,22,1200,30561.76471
01-04-2009,Metal heater,6,Heating furnaces,22,1200,26895.88235
01-04-2009,Metal heater,5,Heating furnaces,22,1200,23724.41176
01-04-2009,Metal heater,5,Heating furnaces,22,1200,23724.41176
01-04-2009,Metal heater,4,Heating furnaces,22,1200,20999.11765
01-04-2009,Metal planter,4,Heating furnaces,22,1200,20999.11765
01-04-2009,Refractory,4,Heating furnaces,11,1200,19019.11765
01-04-2009,Roller,7,Piercing mill,18,1200,29841.76471
01-04-2009,Roller,6,Piercing mill,18,1200,26175.88235
01-04-2009,Roller assistant,4,Piercing mill,18,1200,20279.11765
01-04-2009,Roller,7,Pilgrim mill,18,1200,29841.76471
01-04-2009,Roller,6,Pilgrim mill,18,1200,26175.88235
01-04-2009,Roller assistant,4,Pilgrim mill,18,1200,20279.11765
01-04-2009,Roller assistant,3,Pilgrim mill,18,1200,17927.64706
01-04-2009,Hot metal cutter,4,Pilgrim mill,16,1200,19919.11765
01-04-2009,Cleaner,3,Pilgrim mill,18,1200,17927.64706
01-04-2009,Roller,5,Sizing mill,18,1200,23004.41176
01-04-2009,Operator,5,Sizing mill,8,1200,21204.41176
01-04-2009,Operator,5,Sizing mill,8,1200,21204.41176
01-04-2009,Operator,4,Sizing mill,8,1200,18479.11765
01-05-2009,Metal heater,7,Heating furnaces,22,1250,31210.58824
01-05-2009,Metal heater,6,Heating furnaces,22,1250,27455.29412
01-05-2009,Metal heater,5,Heating furnaces,22,1250,24206.47059
01-05-2009,Metal heater,5,Heating furnaces,22,1250,24206.47059
01-05-2009,Metal heater,4,Heating furnaces,22,1250,21414.70588
01-05-2009,Metal planter,4,Heating furnaces,22,1250,21414.70588
01-05-2009,Refractory,4,Heating furnaces,11,1250,19434.70588
01-05-2009,Roller,7,Piercing mill,18,1250,30490.58824
01-05-2009,Roller,6,Piercing mill,18,1250,26735.29412
01-05-2009,Roller assistant,4,Piercing mill,18,1250,20694.70588
01-05-2009,Roller,7,Pilgrim mill,18,1250,30490.58824
01-05-2009,Roller,6,Pilgrim mill,18,1250,26735.29412
01-05-2009,Roller assistant,4,Pilgrim mill,18,1250,20694.70588
01-05-2009,Roller assistant,3,Pilgrim mill,18,1250,18285.88235
01-05-2009,Hot metal cutter,4,Pilgrim mill,16,1250,20334.70588
01-05-2009,Cleaner,3,Pilgrim mill,18,1250,18285.88235
01-05-2009,Roller,5,Sizing mill,18,1250,23486.47059
01-05-2009,Operator,5,Sizing mill,8,1250,21686.47059
01-05-2009,Operator,5,Sizing mill,8,1250,21686.47059
01-05-2009,Operator,4,Sizing mill,8,1250,18894.70588
01-06-2009,Metal heater,7,Heating furnaces,22,950,27317.64706
01-06-2009,Metal heater,6,Heating furnaces,22,950,24098.82353
01-06-2009,Metal heater,5,Heating furnaces,22,950,21314.11765
01-06-2009,Metal heater,5,Heating furnaces,22,950,21314.11765
01-06-2009,Metal heater,4,Heating furnaces,22,950,18921.17647
01-06-2009,Metal planter,4,Heating furnaces,22,950,18921.17647
01-06-2009,Refractory,4,Heating furnaces,11,950,16941.17647
01-06-2009,Roller,7,Piercing mill,18,950,26597.64706
01-06-2009,Roller,6,Piercing mill,18,950,23378.82353
01-06-2009,Roller assistant,4,Piercing mill,18,950,18201.17647
01-06-2009,Roller,7,Pilgrim mill,18,950,26597.64706
01-06-2009,Roller,6,Pilgrim mill,18,950,23378.82353
01-06-2009,Roller assistant,4,Pilgrim mill,18,950,18201.17647
01-06-2009,Roller assistant,3,Pilgrim mill,18,950,16136.47059
01-06-2009,Hot metal cutter,4,Pilgrim mill,16,950,17841.17647
01-06-2009,Cleaner,3,Pilgrim mill,18,950,16136.47059
01-06-2009,Roller,5,Sizing mill,18,950,20594.11765
01-06-2009,Operator,5,Sizing mill,8,950,18794.11765
01-06-2009,Operator,5,Sizing mill,8,950,18794.11765
01-06-2009,Operator,4,Sizing mill,8,950,16401.17647
01-07-2009,Metal heater,7,Heating furnaces,22,1400,33157.05882
01-07-2009,Metal heater,6,Heating furnaces,22,1400,29133.52941
01-07-2009,Metal heater,5,Heating furnaces,22,1400,25652.64706
01-07-2009,Metal heater,5,Heating furnaces,22,1400,25652.64706
01-07-2009,Metal heater,4,Heating furnaces,22,1400,22661.47059
01-07-2009,Metal planter,4,Heating furnaces,22,1400,22661.47059
01-07-2009,Refractory,4,Heating furnaces,11,1400,20681.47059
01-07-2009,Roller,7,Piercing mill,18,1400,32437.05882
01-07-2009,Roller,6,Piercing mill,18,1400,28413.52941
01-07-2009,Roller assistant,4,Piercing mill,18,1400,21941.47059
01-07-2009,Roller,7,Pilgrim mill,18,1400,32437.05882
